,id,idade_empresa_anos,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,nu_meses_rescencia,empsetorcensitariofaixarendapopulacao,qt_socios,idade_media_socios,qt_socios_feminino,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_filiais,fl_matriz,fl_me,fl_sa,fl_mei,fl_ltda,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_optante_simples,fl_passivel_iss,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_emp_cat,dt_situacao,nm_divisao,nm_segmento,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,de_nivel_atividade,nm_meso_regiao,nm_micro_regiao,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo
0,dabe79bec87c88ae04e869bf6bd321ee5e1893cecf66255be9ea861a9e5841a9,-0.9673914396559277,-0.049577090273494905,-0.04044184522919418,3.864345073512139e-16,-0.9623493525118604,-0.17478648304241043,0.22875124888199216,0.0,-0.019694912763142666,-0.048772107044029046,-0.061321969709905076,1,0,0,1,0,0,0,0,0,1,0,17,3,5,5,1,4,7108,30,9,16,2,4,1,14,61,10,10
1,32e5f4e10932153a7ba869cb0386e7e02d49d2461046b866411556d2af150702,-0.3496772288634103,-0.049577090273494905,-0.04044184522919418,-0.3271031586501229,0.5782151666724151,2.3458592363137586e-16,0.010405636475246718,0.0,-0.019694912763142666,-0.048657475859036015,-0.05278637091162939,0,0,0,0,0,0,1,1,0,0,0,17,2,5,5,1,3,4967,30,9,9,4,0,2,3,44,10,7
2,a95d6f30bba445bd3d6b0c5b36f865b38ec01d1733609095d359649cfedf15d1,-0.20151699380247445,-0.049577090273494905,-0.04044184522919418,-0.10955987073636936,-0.5287327810838008,-0.17478648304241043,1.1287133800834621,-0.2276208744208894,-0.025017042822033365,-0.04879529662187365,-0.061321969709905076,1,0,0,1,0,0,0,0,1,1,0,17,2,5,5,1,3,4451,30,9,9,1,0,2,8,0,1,1
3,6cb309685cea0b6d2988818792ec2e6fcb2bd02e0afa9e74532d5040fbc933b8,1.1350592805645454,-0.049577090273494905,-0.04044184522919418,0.10798341717738418,-0.7253928699764053,-0.17478648304241043,-0.2712277128966023,0.0,-0.025017042822033365,-0.04879529662187365,-0.061321969709905076,1,0,0,0,0,0,0,0,0,1,0,17,4,5,5,1,5,2901,30,9,19,4,0,0,11,70,1,1
4,f72aa7fa6787b0a5a1c88885b6120850df8ee0f71adc251dfe8d321e9e6de7f5,0.9128189279731411,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,-0.4430899825515561,0.17737387637513222,-0.9711982593866345,-0.2276208744208894,0.07407904968638965,-0.04795136643172704,-0.05492027061119831,1,0,0,0,0,0,1,1,1,1,0,60,4,2,5,1,2,2901,30,9,19,4,0,0,6,48,2,8
5,f7e2894dce5dbb49662da50c55bcb96cdc3d34188abfe82d54ab6d94e7244d0c,-0.3858625170417544,-0.049577090273494905,-0.04044184522919418,-0.000788226779492595,-0.18858808106507083,2.3458592363137586e-16,0.010405636475246718,0.0,-0.019694912763142666,-0.048772107044029046,-0.061321969709905076,1,0,0,0,0,0,0,0,0,1,0,17,2,5,5,1,3,5093,30,9,9,1,0,1,16,28,10,10
6,f0c84600cbd2e126ee8314d22816368f33207e723a6ae7ae781582b320c29e4e,-0.029708105837581603,-0.049577090273494905,-0.04044184522919418,-0.4358748026069997,3.2065829172330996e-14,2.3458592363137586e-16,0.010405636475246718,0.0,-0.019694912763142666,-0.048772107044029046,-0.061321969709905076,1,0,0,0,0,0,1,1,1,1,0,17,1,5,5,1,3,3913,30,9,2,1,0,0,2,43,10,10
7,d0f8bc5c0e71600d303cacebb3e8e6fd9195322b2c1b15940863e2e980bb17a5,-0.9830622337489114,-0.049577090273494905,-0.04044184522919418,3.864345073512139e-16,-0.4636529646909727,-0.17478648304241043,-1.7711645982323856,0.0,-0.019694912763142666,-0.048772107044029046,-0.061321969709905076,1,0,0,1,0,0,1,1,1,1,0,17,4,5,5,1,4,7160,30,9,19,2,4,2,6,48,10,10
8,b9b02480a757c3cc5054d6c01e44df62b22ea1328a874374abd49b7197b3d91c,-0.9138258162108202,-0.049577090273494905,-0.04044184522919418,-1.5235912421757674,-0.5558493712474792,0.17737387637513222,-0.8712024670309156,-0.2276208744208894,0.0041644623973672796,-0.04866814700707277,-0.061321969709905076,1,0,0,0,0,0,0,1,0,1,1,60,2,2,5,1,0,6921,30,9,9,2,1,0,16,28,7,7
9,7d58990ba786a3a26617a8afbf814a9919ab34aa09013a559b2c9d45eb439720,-0.48245159336032606,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,-0.471658321328204,0.17737387637513222,-1.8711603905881045,0.0,-0.019694912763142666,-0.048772107044029046,-0.061321969709905076,1,0,0,0,0,0,1,0,1,1,0,60,3,2,5,1,3,5428,30,9,16,1,0,2,4,69,10,10
